Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Frances Marks,F,SBD,Raw,25.5,24-34,24-39,FR-O,70.1,72,125.0,72.5,157.5,355.0,1,358.71,352.82,311.0,72.91,Yes,USA,IL,USAPL,IPF,2016-01-16,USA,WI,,Wisconsin State Open,Yes
Amanda Sweeney,F,SBD,Raw,39.5,35-39,40-49,FR-O,109.7,84+,147.5,72.5,160.0,380.0,1,313.53,309.14,263.18,66.27,Yes,USA,IL,USAPL,IPF,2021-10-16,USA,PA,,Philadelphia Fall Showdown,Yes
Lexie Pflug,F,SBD,Raw,25.5,24-34,24-39,FR-O,60.8,63,90.0,47.5,115.0,252.5,1,277.59,278.64,246.15,56.56,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Lauren Gaines,F,SBD,Raw,29.5,24-34,24-39,FR-O,76.2,84,125.0,70.0,152.5,347.5,1,335.65,327.12,287.57,68.43,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Emily Jones,F,SBD,Raw,37.5,35-39,24-39,FR-O,76.6,84,90.0,45.0,122.5,257.5,4,248.04,241.63,212.37,50.58,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Jessica Rivera-Montejo,F,SBD,Raw,37.0,35-39,24-39,FR-O,116.3,84+,157.5,80.0,177.5,415.0,1,336.05,333.75,283.3,71.53,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Lucie Burmeister,F,SBD,Raw,43.5,40-44,40-49,FR-O,109.4,84+,87.5,57.5,110.0,255.0,3,210.59,207.57,176.73,44.5,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Jacob Doehring,M,SBD,Raw,21.5,20-23,19-23,MR-O,64.8,66,142.5,107.5,182.5,432.5,1,343.56,344.81,335.36,68.08,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Zakary Prielipp,M,SBD,Raw,31.0,24-34,24-39,MR-O,81.65,83,165.0,115.0,182.5,462.5,3,315.15,311.78,300.13,64.56,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
Jonathan Herrera #1,M,SBD,Raw,16.5,16-17,14-18,MR-O,92.15,93,192.5,100.0,207.5,500.0,2,319.54,315.48,302.06,65.7,Yes,USA,IL,USAPL,IPF,2020-02-29,USA,WI,,PF Opener,Yes
