Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Logyn Frapolly,F,SBD,Raw,16.5,16-17,14-18,FR-O,75.1,76,150,75,175,400,1,389.32,379.94,334.2,79.31,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Jenna Demas,F,SBD,Raw,18,18-19,14-18,FR-O,75.8,76,112.5,60,140,312.5,2,302.67,295.13,259.5,61.69,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Brittney Gerrish,F,SBD,Raw,38,35-39,24-39,FR-O,83.7,84,85,52.5,120,257.5,1,237.34,230.04,201.16,48.7,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Jenny Gambaro,F,SBD,Raw,29.5,24-34,24-39,FR-O,85.3,84+,117.5,80,137.5,335,2,306.03,296.49,258.91,62.89,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Khoi Nguyen,M,SBD,Raw,18.5,18-19,19-23,MR-O,54.8,59,115,57.5,102.5,275,1,250.93,255.76,251.09,47.34,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Dakota Zucker,M,SBD,Raw,27,24-34,24-39,MR-O,65.8,66,172.5,117.5,187.5,477.5,1,374.98,375.87,365.29,74.55,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Jonathan Almazan,M,SBD,Raw,27.5,24-34,24-39,MR-O,65.2,66,160,107.5,192.5,460,2,363.72,364.85,354.74,72.17,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Daniel Cha,M,SBD,Raw,17.5,18-19,14-18,MR-O,65.6,66,170,102.5,180,452.5,3,356.15,357.09,347.09,70.76,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Arvid Haque,M,SBD,Raw,24.5,24-34,24-39,MR-O,73.2,74,165,105,205,475,2,346.19,344.34,333.06,70.13,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
James McArthur,M,SBD,Raw,19,18-19,19-23,MR-O,72.2,74,155,127.5,180,462.5,3,340.16,338.65,327.75,68.77,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Giao Nguyen,M,SBD,Raw,24.5,24-34,24-39,MR-O,73.6,74,140,92.5,200,432.5,5,314.09,312.31,302.01,63.67,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Ryan Ondrula,M,SBD,Raw,21.5,20-23,19-23,MR-O,80.8,83,190,120,242.5,552.5,1,378.76,374.85,361.02,77.53,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Andrew Diehl,M,SBD,Raw,22.5,20-23,19-23,MR-O,80.3,83,190,110,217.5,517.5,2,356.06,352.47,339.56,72.85,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Jacob Marcus,M,SBD,Raw,20.5,20-23,19-23,MR-O,79.4,83,182.5,115,205,502.5,3,348.05,344.7,332.24,71.14,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Joseph Ramos,M,SBD,Raw,38.5,35-39,24-39,MR-O,80.1,83,160,95,180,435,4,299.73,296.74,285.9,61.31,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Quinn Farrell,M,SBD,Raw,21.5,20-23,19-23,MR-O,90.9,93,210,137.5,260,607.5,1,390.86,385.89,369.68,80.37,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Brian Jerszynski,M,SBD,Raw,39.5,35-39,40-49,MR-O,91,93,210,147.5,242.5,600,2,385.82,380.91,364.9,79.33,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Philip An,M,SBD,Raw,17.5,18-19,14-18,MR-O,91,93,230,125,235,590,3,379.39,374.57,358.81,78.01,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Eugene Villamater,M,SBD,Raw,26.5,24-34,24-39,MR-O,91.6,93,182.5,110,182.5,475,4,304.46,300.58,287.86,62.6,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Adan Reyes,M,SBD,Raw,19.5,20-23,19-23,MR-O,90.9,93,182.5,105,172.5,460,5,295.96,292.19,279.92,60.85,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
Matthew Assimos,M,SBD,Raw,23.5,24-34,24-39,MR-O,95.7,105,210,125,232.5,567.5,2,356.24,351.84,336.41,73.22,Yes,USA,IL,USAPL,IPF,11/7/21,USA,IL,,Illinois Novice,Yes
